Date,Power [kW],Power-1 [kW],Temperature [°C],Relative Humidity [%],Wind Speed [m/s],Wind Gust [m/s],Pressure [mbar],Solar Radiation [W/m2],Rainfall intensity [mm/h],Rain Day,Hour,DayOfWeek,Month,Season,Public Holiday
2017-01-02 22:00:00,47.1577625,58.2370235,13.72,81.7,5.744,8.05,1016.0,2.021,0.0,6.6,22,1,1,1,0
2017-01-02 23:00:00,43.1981055,47.1577625,14.1,84.3,5.912,8.55,1016.0,1.301,0.4,7.0,23,1,1,1,0
2017-01-03 00:00:00,43.569337,43.1981055,14.43,82.8,7.61,10.57,1017.0,1.357,0.2,0.0,0,2,1,1,0
2017-01-03 01:00:00,42.3608135,43.569337,14.21,83.8,3.627,5.786,1017.0,1.717,0.1,0.1,1,2,1,1,0
2017-01-03 02:00:00,41.889946,42.3608135,14.26,84.1,6.143,8.55,1017.0,2.326,0.0,0.1,2,2,1,1,0
2017-01-03 03:00:00,42.718935,41.889946,12.72,88.4,5.556,6.541,1018.0,2.132,0.3,0.4,3,2,1,1,0
2017-01-03 04:00:00,42.6116515,42.718935,14.03,88.1,4.004,5.032,1018.0,0.0,0.2,0.6,4,2,1,1,0
2017-01-03 05:00:00,45.940936,42.6116515,14.75,85.4,5.849,7.3,1018.0,1.385,0.5,1.1,5,2,1,1,0
2017-01-03 06:00:00,49.3606795,45.940936,14.93,84.6,6.08,8.81,1018.0,1.44,0.0,1.1,6,2,1,1,0
2017-01-03 07:00:00,86.5970125,49.3606795,14.87,83.8,3.312,4.528,1019.0,0.914,0.0,1.1,7,2,1,1,0
2017-01-03 08:00:00,109.1772395,86.5970125,14.99,84.8,3.774,4.277,1020.0,4.513,0.0,1.1,8,2,1,1,0
2017-01-03 09:00:00,125.4096045,109.1772395,15.11,83.1,6.101,6.793,1021.0,66.31,0.0,1.1,9,2,1,1,0
2017-01-03 10:00:00,212.5189995,125.4096045,15.75,81.6,2.956,4.277,1022.0,132.1,0.0,1.1,10,2,1,1,0
2017-01-03 11:00:00,192.9990835,212.5189995,15.02,81.1,2.117,3.019,1023.0,125.0,0.0,1.1,11,2,1,1,0
2017-01-03 12:00:00,202.6742635,192.9990835,16.25,73.6,3.941,4.78,1023.0,307.9,0.0,1.1,12,2,1,1,0
2017-01-03 13:00:00,203.2768865,202.6742635,16.54,69.32,3.711,4.78,1023.0,303.9,0.0,1.1,13,2,1,1,0
2017-01-03 14:00:00,210.4152815,203.2768865,16.42,74.2,6.709,8.05,1022.0,226.1,0.0,1.1,14,2,1,1,0
2017-01-03 15:00:00,204.067638,210.4152815,16.27,70.9,6.31,8.3,1023.0,227.5,0.0,1.1,15,2,1,1,0
2017-01-03 16:00:00,198.071124,204.067638,15.93,68.71,5.136,6.289,1023.0,75.0,0.0,1.1,16,2,1,1,0
2017-01-03 17:00:00,153.655318,198.071124,15.42,75.8,4.696,6.289,1024.0,20.9,0.0,1.1,17,2,1,1,0
2017-01-03 18:00:00,138.646116,153.655318,15.3,76.7,2.851,3.774,1024.0,0.083,0.0,1.1,18,2,1,1,0
2017-01-03 19:00:00,101.827118,138.646116,15.12,81.0,2.411,3.271,1025.0,0.831,0.0,1.1,19,2,1,1,0
2017-01-03 20:00:00,82.3651045,101.827118,15.04,82.8,2.851,3.522,1025.0,0.692,0.0,1.1,20,2,1,1,0
2017-01-03 21:00:00,61.1627385,82.3651045,15.0,82.4,2.013,2.767,1025.0,0.581,0.0,1.1,21,2,1,1,0
2017-01-03 22:00:00,52.301034,61.1627385,14.99,82.0,2.809,3.522,1026.0,0.941,0.0,1.1,22,2,1,1,0
2017-01-03 23:00:00,48.5146475,52.301034,14.92,82.5,2.39,3.019,1026.0,0.609,0.0,1.1,23,2,1,1,0
