Date,Temperature [°C],Relative Humidity [%],Solar Radiation [W/m2],Power [kW],Power-1 [kW],Hour,DayOfWeek,XGB Predicted Power [kW],GB Predicted Power [kW],Linear Predicted Power [kW],Neural Predicted Power [kW],Decision Tree Predicted Power [kW],Random Forest Predicted Power [kW],Bootstrapping Predicted Power [kW]
2019-01-01 02:00:00,10.26083333,61.72,2.67475,43.231,43.221,2,1,44.70218,45.098308058059985,44.902829755975276,44.90282975597543,43.1675,42.95749077048657,42.884499999999996
2019-01-01 03:00:00,9.666666667,63.89333333,2.44425,43.434,43.231,3,1,44.70218,45.098308058059985,44.799060804086736,44.79906080408688,43.1675,42.93201896674137,43.057399999999994
2019-01-01 04:00:00,8.640833333,68.03416667,3.056333333,42.527,43.434,4,1,44.818512,45.098308058059985,44.53511046123795,44.53511046123808,43.1675,42.8958141003661,42.68919999999999
2019-01-01 05:00:00,9.093333333,63.19333333,2.426416667,42.7,42.527,5,1,46.38066,45.95590064214446,45.13026893890891,45.130268938909026,43.1675,43.19887998667204,42.93429999999999
2019-01-01 06:00:00,8.3925,67.45666667,2.46775,44.927,42.7,6,1,46.945606,46.12231328897172,44.918828269520404,44.91882826952051,43.1675,43.16666028732129,43.889500000000005
2019-01-01 07:00:00,7.6975,70.29833333,3.402833333,61.382,44.927,7,1,56.986042,53.71701562381207,51.000080929083,51.0000809290831,59.2044,57.58782360635547,60.280499999999996
2019-01-01 08:00:00,7.696666667,70.62,66.3175,77.058,61.382,8,1,87.09888,97.07670794709134,102.2712784817428,102.2712784817428,92.87819999999999,91.40701489456161,86.1722
2019-01-01 09:00:00,8.685,63.055,216.0666667,77.821,77.058,9,1,100.73046,101.58139291564927,101.42897506178012,101.42897506178011,89.0675,89.7521180462061,82.06800000000001
2019-01-01 10:00:00,9.961666667,58.75833333,349.3166667,77.499,77.821,10,1,79.8799,80.80687763563044,80.5859737002757,80.58597370027567,78.40183333333334,79.74891097339733,77.6602
2019-01-01 11:00:00,11.29083333,53.24666667,441.9833333,77.855,77.499,11,1,75.87857,78.8802219773002,79.98352229931753,79.98352229931746,78.40183333333334,79.5500492095515,78.71180000000001
2019-01-01 12:00:00,12.48083333,48.16833333,481.325,77.774,77.855,12,1,80.21326,80.85129198752816,80.77365579891006,80.77365579890997,78.40183333333334,79.93264497733244,77.15859999999999
2019-01-01 13:00:00,14.08083333,42.3475,463.5666667,78.399,77.774,13,1,72.28607,74.11574138390284,75.05210294626036,75.05210294626028,77.9202,78.49946274244705,79.0296
2019-01-01 14:00:00,15.055,38.46333333,388.4333333,78.497,78.399,14,1,79.504036,81.03502273400842,82.18488601452657,82.18488601452648,78.40183333333334,80.38504359000082,78.23729999999998
2019-01-01 15:00:00,15.81416667,36.73083333,265.3333333,78.717,78.497,15,1,79.55877,81.03502273400842,82.52078317502635,82.52078317502628,78.40183333333334,80.48055269355699,78.34729999999999
2019-01-01 16:00:00,15.7225,34.20833333,116.13,80.069,78.717,16,1,79.45037,81.08401718311606,82.95285013864233,82.95285013864229,78.40183333333334,80.79231536220648,79.1089
2019-01-01 17:00:00,14.49,35.6375,7.204833333,82.683,80.069,17,1,76.41901,78.8802219773002,81.21234290032109,81.21234290032106,80.0834,81.07732541094832,82.1083
